name,salary_from,salary_to,salary_currency,area_name,published_at
Архитектор SIEM-систем [Кибербезопасность],,,,Краснодар,2022-12-26T15:38:08+0300
Консультант-программист 1С,,,,Пермь,2022-12-26T15:47:45+0300
Odoo Developer,,,,Тбилиси,2022-12-26T13:25:38+0300
Odoo Developer,,,,Ташкент,2022-12-26T13:25:15+0300
Старший инженер-программист (проектирование архитектуры БД),120000.0,160000.0,RUR,Тверь,2022-12-26T13:46:42+0300
Эксперт сопровождения карточных сервисов,,,,Москва,2022-12-26T13:57:43+0300
Директор департамента перспективных разработок и встраиваемых систем,,,,Зеленоград,2022-12-26T14:06:21+0300
"Консультант 1С (КА, УТ, БП)",,,,Казань,2022-12-26T12:46:51+0300
Аналитик 1С,,140000.0,RUR,Санкт-Петербург,2022-12-26T13:12:28+0300
Системный аналитик (направление МСФО),,,,Москва,2022-12-26T13:01:00+0300
Solution-архитектор \ Руководитель разработки,,,,Москва,2022-12-26T19:29:56+0300
PHP-разработчик,,,,Иваново (Ивановская область),2022-12-26T14:26:40+0300
Разработчик Directum RX,,,,Москва,2022-12-26T14:46:39+0300
Администратор баз данных высоконагруженных кластеров СУБД,,,,Санкт-Петербург,2022-12-26T18:36:40+0300
Дежурный инженер по эксплуатации (СКЗИ),,,,Москва,2022-12-26T13:54:54+0300
Senior Product Analyst,,,,Астана,2022-12-26T13:37:22+0300
Инженер разработчик,,,,Белгород,2022-12-26T12:58:49+0300
Android разработчик,,,,Йошкар-Ола,2022-12-26T17:55:38+0300
"Старший разработчик C#, Логистика, Постоматы",,,,Москва,2022-12-26T14:20:51+0300
Программист 1C Senior,150000.0,200000.0,RUR,Сочи,2022-12-26T15:13:43+0300
Архитектор данных,,,,Москва,2022-12-26T14:42:13+0300
DevOps инженер (Депозитарий),,,,Санкт-Петербург,2022-12-26T14:40:52+0300
Middle Angular Front-end разработчик,150000.0,250000.0,RUR,Казань,2022-12-26T15:56:23+0300
Solution Architect (Медицина),,,,Москва,2022-12-26T14:21:37+0300
Инженер по сопровождению (Депозитарий),,,,Санкт-Петербург,2022-12-26T14:55:05+0300
Архитектор данных,,,,Санкт-Петербург,2022-12-26T14:42:13+0300
Senior C# / Blazor Developer,,,,Минск,2022-12-26T17:09:15+0300
Преподаватель курсов «Программирование на языке Python»,,,,Москва,2022-12-26T14:11:52+0300
Middle/Senior Penetration Tester [Кибербезопасность],,,,Москва,2022-12-26T15:38:09+0300
Solution Architect,,,,Санкт-Петербург,2022-12-26T15:33:43+0300
"Менеджер (Красноармейский р-н, КЦ Волгоград)",85000.0,,RUR,Волгоград,2022-12-26T14:28:18+0300
MLOps Engineer в области рекомендательных систем,,,,Нижний Новгород,2022-12-26T18:28:49+0300
Технический специалист StoreHouse,,,,Алматы,2022-12-26T14:11:33+0300
Data Scientist в рекомендательные системы,,,,Нижний Новгород,2022-12-26T18:25:34+0300
Инженер по нагрузочному тестированию,,,,Самара,2022-12-26T14:52:59+0300
PHP разработчик,,,,Москва,2022-12-26T14:27:04+0300
Разработчик тестирования/QA Automation Engineer,,,,Москва,2022-12-26T16:39:05+0300
Аналитик НСИ (нормативно-справочной информации),,,,Санкт-Петербург,2022-12-26T15:34:07+0300
Haskell разработчик,,,,Москва,2022-12-26T18:39:09+0300
Android developer (автор-лектор),,,,Москва,2022-12-26T17:26:22+0300
Ведущий аналитик,,,,Москва,2022-12-26T13:09:13+0300
Системный программист С/С++ (разработка ОС Аврора),,,,Москва,2022-12-26T16:51:05+0300
Инженер по автоматизированному тестированию [NPM.backbone],,,,Москва,2022-12-26T15:38:10+0300
Senior Backend Python Developer платформа анализа и синтеза речи (MTS AI),250000.0,,RUR,Москва,2022-12-26T13:09:42+0300
PHP developer (Symfony),,,,Москва,2022-12-26T14:25:54+0300
Ведущий разработчик/руководитель группы Postgres,,,,Санкт-Петербург,2022-12-26T14:43:25+0300
Python Senior developer,,,,Минск,2022-12-26T14:10:36+0300
Middle Java разработчик,,,,Нижний Новгород,2022-12-26T18:32:54+0300
"Старший разработчик Go логирование, Платформа, Телеметрия",,,,Санкт-Петербург,2022-12-26T13:42:57+0300
Senior Backend Developer (Python),,,,Москва,2022-12-26T19:34:27+0300
"Старший разработчик Go логирование, Платформа, Телеметрия",,,,Москва,2022-12-26T13:42:16+0300
Lead Product Growth (платные подписки),,,,Кипр,2022-12-26T13:18:46+0300
Lead Product Growth (платные подписки),,,,Черногория,2022-12-26T13:18:16+0300
Разработчик PHP Laravel,,,,Краснодар,2022-12-26T15:10:27+0300
Senior Python Developer KernelCare - remote,,,,Алматы,2022-12-26T13:48:02+0300
Ведущий Data Engineer (Розничные риски),,,,Санкт-Петербург,2022-12-26T15:58:05+0300
Senior Java разработчик (Развитие внешнеэкономического партнерства),,,,Москва,2022-12-26T17:05:36+0300
Senior Golang Developer (remote),,,,Алматы,2022-12-26T13:44:59+0300
"Ведущий разработчик Golang (SEO метрики, Путь совершения покупки и Travel)",,,,Москва,2022-12-26T12:49:57+0300
Head of Design,250.0,,RUR,Москва,2022-12-26T14:18:12+0300
Motion Designer (Effects),,,,Черногория,2022-12-26T12:46:33+0300
Motion Designer (Effects),,,,Черногория,2022-12-26T12:47:03+0300
Motion Designer (Effects),,,,Черногория,2022-12-26T12:45:22+0300
Motion Designer (Effects),,,,Армения,2022-12-26T12:46:48+0300
"Оператор-наладчик станков с ЧПУ 5, 6 разряда (токарные, фрезерные)",80000.0,110000.0,RUR,Ступино,2022-12-26T15:11:24+0300
Менеджер по проекту,,,,Туркестан,2022-12-26T19:59:55+0300
Специалист по информационной безопасности / Менеджер по развитию бизнеса,100000.0,,RUR,Москва,2022-12-26T19:21:42+0300
Стажер/Аналитик 1С,40000.0,70000.0,RUR,Москва,2022-12-26T21:17:16+0300
Аналитик / системный аналитик (junior),,,,Москва,2022-12-26T18:49:46+0300
Системный аналитик\Бизнес аналитик,150000.0,250000.0,RUR,Санкт-Петербург,2022-12-26T22:47:48+0300
Младший аналитик,,,,Москва,2022-12-26T19:22:47+0300
Системный администратор,,,,Липецк,2022-12-26T18:52:26+0300
Инженер технической поддержки (HelpDesk),60000.0,,RUR,Екатеринбург,2022-12-26T17:45:11+0300
"Системный аналитик, удаленно",150000.0,,RUR,Москва,2022-12-26T19:44:53+0300
Специалист технической поддержки и мониторинга,,,,Санкт-Петербург,2022-12-26T17:57:28+0300
Начальник отдела технической поддержки,,,,Москва,2022-12-26T18:21:09+0300
Технический писатель,,,,Москва,2022-12-26T21:04:47+0300
Ночной специалист технической поддержки,18000.0,45000.0,RUR,Краснодар,2022-12-28T10:46:27+0300
Начальник отдела технической поддержки,,,,Краснодар,2022-12-26T18:21:09+0300
Технический писатель IT,,,,Санкт-Петербург,2022-12-26T17:42:42+0300
Начальник отдела технической поддержки,,,,Симферополь,2022-12-26T18:21:09+0300
IT архитектор,40000.0,,RUR,Уфа,2022-12-26T16:16:09+0300
IT Project manager,,,,Тбилиси,2022-12-26T19:58:38+0300
Технический писатель (IT Компания с государственными проектами),100000.0,,RUR,Москва,2022-12-26T19:30:19+0300
Technical Support Agent in Almaty,400.0,800.0,USD,Астана,2022-12-26T16:38:08+0300
Инженер (сопровождение внутренней инфрасруктуры),,,,Москва,2022-12-26T16:25:31+0300
Ночной специалист технической поддержки,18000.0,45000.0,RUR,Самара,2022-12-28T10:46:26+0300
Аналитик IT,,,,Москва,2022-12-26T16:34:46+0300
Менеджер проектов,50000.0,100000.0,RUR,Санкт-Петербург,2022-12-26T16:38:30+0300
"Помощник системного администратора (в отель ""Аэрополис"")",30000.0,40000.0,RUR,Москва,2022-12-26T16:56:15+0300
Специалист службы технической поддержки в Маркет,,,,Екатеринбург,2022-12-26T16:31:35+0300
Системный аналитик,,,,Москва,2022-12-26T20:30:21+0300
Менеджер по управлению проектами (поставки и ремонт ИТ-оборудования),70000.0,155000.0,RUR,Москва,2022-12-26T15:11:55+0300
Менеджер проектов (PM),50000.0,80000.0,RUR,Волгоград,2022-12-26T17:49:48+0300
Системный администратор,,45000.0,RUR,Сочи,2022-12-26T15:23:01+0300
